,Unnamed: 0,annual_usage,min_order_quantity,quantity,wall,num_bends,bend_radius,num_boss,other,no_of_components,total_component_weight,volume,cost
67,67,0,0,100,0.71,4,19.05,0,0,2,0.018,4212.00592,2.782059058
68,68,0,0,250,0.71,4,19.05,0,0,2,0.018,4212.00592,2.698597286
69,69,0,0,1,0.71,4,19.05,0,0,2,0.018,3958.65218045,21.53870122
70,70,0,0,2,0.71,4,19.05,0,0,2,0.018,3958.65218045,11.97398218
71,71,0,0,5,0.71,4,19.05,0,0,2,0.018,3958.65218045,6.234594348
72,72,0,0,10,0.71,4,19.05,0,0,2,0.018,3958.65218045,4.320537716
73,73,0,0,25,0.71,4,19.05,0,0,2,0.018,3958.65218045,3.174329385
74,74,0,0,50,0.71,4,19.05,0,0,2,0.018,3958.65218045,2.857174652
75,75,0,0,100,0.71,4,19.05,0,0,2,0.018,3958.65218045,2.718071699
76,76,0,0,250,0.71,4,19.05,0,0,2,0.018,3958.65218045,2.631827868
77,77,0,0,1,0.71,6,19.05,0,0,2,0.018,3261.92939669,21.49140622
78,78,0,0,2,0.71,6,19.05,0,0,2,0.018,3261.92939669,11.92668718
79,79,0,0,5,0.71,6,19.05,0,0,2,0.018,3261.92939669,6.187299344
80,80,0,0,10,0.71,6,19.05,0,0,2,0.018,3261.92939669,4.273242712
81,81,0,0,25,0.71,6,19.05,0,0,2,0.018,3261.92939669,3.127034381
82,82,0,0,50,0.71,6,19.05,0,0,2,0.018,3261.92939669,2.809879648
83,83,0,0,100,0.71,6,19.05,0,0,2,0.018,3261.92939669,2.667994636
84,84,0,0,250,0.71,6,19.05,0,0,2,0.018,3261.92939669,2.584532864
85,85,0,0,1,0.71,6,19.05,0,0,2,0.018,3261.92939669,21.49140622
86,86,0,0,2,0.71,6,19.05,0,0,2,0.018,3261.92939669,11.92668718
87,87,0,0,5,0.71,6,19.05,0,0,2,0.018,3261.92939669,6.187299344
88,88,0,0,10,0.71,6,19.05,0,0,2,0.018,3261.92939669,4.273242712
89,89,0,0,25,0.71,6,19.05,0,0,2,0.018,3261.92939669,3.127034381
90,90,0,0,50,0.71,6,19.05,0,0,2,0.018,3261.92939669,2.809879648
91,91,0,0,100,0.71,6,19.05,0,0,2,0.018,3261.92939669,2.667994636
92,92,0,0,250,0.71,6,19.05,0,0,2,0.018,3261.92939669,2.584532864
93,93,0,0,1,0.71,4,19.05,0,0,2,0.018,4180.33670255,21.59712446
94,94,0,0,2,0.71,4,19.05,0,0,2,0.018,4180.33670255,12.03240542
95,95,0,0,5,0.71,4,19.05,0,0,2,0.018,4180.33670255,6.293017588
96,96,0,0,10,0.71,4,19.05,0,0,2,0.018,4180.33670255,4.378960957
97,97,0,0,25,0.71,4,19.05,0,0,2,0.018,4180.33670255,3.232752625
98,98,0,0,50,0.71,4,19.05,0,0,2,0.018,4180.33670255,2.915597892
99,99,0,0,100,0.71,4,19.05,0,0,2,0.018,4180.33670255,2.77371288
100,100,0,0,250,0.71,4,19.05,0,0,2,0.018,4180.33670255,2.690251109
101,101,0,0,1,0.71,4,19.05,0,0,2,0.018,4053.65983278,21.56373976
102,102,0,0,2,0.71,4,19.05,0,0,2,0.018,4053.65983278,11.99902072
103,103,0,0,5,0.71,4,19.05,0,0,2,0.018,4053.65983278,6.259632879
104,104,0,0,10,0.71,4,19.05,0,0,2,0.018,4053.65983278,4.345576248
105,105,0,0,25,0.71,4,19.05,0,0,2,0.018,4053.65983278,3.199367916
106,106,0,0,50,0.71,4,19.05,0,0,2,0.018,4053.65983278,2.882213184
107,107,0,0,100,0.71,4,19.05,0,0,2,0.018,4053.65983278,2.743110231
108,108,0,0,250,0.71,4,19.05,0,0,2,0.018,4053.65983278,2.6568664
109,109,0,0,1,0.71,4,19.05,0,0,2,0.018,2628.54504782,21.19094384
110,110,0,0,2,0.71,4,19.05,0,0,2,0.018,2628.54504782,11.6262248
111,111,0,0,5,0.71,4,19.05,0,0,2,0.018,2628.54504782,5.886836966
112,112,0,0,10,0.71,4,19.05,0,0,2,0.018,2628.54504782,3.975562393
113,113,0,0,25,0.71,4,19.05,0,0,2,0.018,2628.54504782,2.826572002
114,114,0,0,50,0.71,4,19.05,0,0,2,0.018,2628.54504782,2.512199329
115,115,0,0,100,0.71,4,19.05,0,0,2,0.018,2628.54504782,2.370314317
116,116,0,0,250,0.71,4,19.05,0,0,2,0.018,2628.54504782,2.286852545
117,117,0,0,1,0.71,4,19.05,0,0,2,0.018,2723.55270015,21.21598237
118,118,0,0,2,0.71,4,19.05,0,0,2,0.018,2723.55270015,11.65126333
119,119,0,0,5,0.71,4,19.05,0,0,2,0.018,2723.55270015,5.911875497
120,120,0,0,10,0.71,4,19.05,0,0,2,0.018,2723.55270015,4.000600925
121,121,0,0,25,0.71,4,19.05,0,0,2,0.018,2723.55270015,2.851610534
122,122,0,0,50,0.71,4,19.05,0,0,2,0.018,2723.55270015,2.53723786
123,123,0,0,100,0.71,4,19.05,0,0,2,0.018,2723.55270015,2.395352849
124,124,0,0,250,0.71,4,19.05,0,0,2,0.018,2723.55270015,2.309109018
125,125,0,0,1,0.71,4,19.05,0,0,2,0.018,3958.65218045,21.53870122
126,126,0,0,2,0.71,4,19.05,0,0,2,0.018,3958.65218045,11.97398218
127,127,0,0,5,0.71,4,19.05,0,0,2,0.018,3958.65218045,6.234594348
128,128,0,0,10,0.71,4,19.05,0,0,2,0.018,3958.65218045,4.320537716
129,129,0,0,25,0.71,4,19.05,0,0,2,0.018,3958.65218045,3.174329385
130,130,0,0,50,0.71,4,19.05,0,0,2,0.018,3958.65218045,2.857174652
131,131,0,0,100,0.71,4,19.05,0,0,2,0.018,3958.65218045,2.718071699
132,132,0,0,250,0.71,4,19.05,0,0,2,0.018,3958.65218045,2.631827868
133,133,0,0,1,0.71,4,19.05,0,0,2,0.018,4085.32905022,21.57208593
134,134,0,0,2,0.71,4,19.05,0,0,2,0.018,4085.32905022,12.00736689
135,135,0,0,5,0.71,4,19.05,0,0,2,0.018,4085.32905022,6.267979057
136,136,0,0,10,0.71,4,19.05,0,0,2,0.018,4085.32905022,4.353922425
137,137,0,0,25,0.71,4,19.05,0,0,2,0.018,4085.32905022,3.207714093
138,138,0,0,50,0.71,4,19.05,0,0,2,0.018,4085.32905022,2.890559361
139,139,0,0,100,0.71,4,19.05,0,0,2,0.018,4085.32905022,2.751456408
140,140,0,0,250,0.71,4,19.05,0,0,2,0.018,4085.32905022,2.665212577
141,141,0,0,1,0.71,4,19.05,0,0,2,0.018,4180.33670255,21.59712446
142,142,0,0,2,0.71,4,19.05,0,0,2,0.018,4180.33670255,12.03240542
143,143,0,0,5,0.71,4,19.05,0,0,2,0.018,4180.33670255,6.293017588
144,144,0,0,10,0.71,4,19.05,0,0,2,0.018,4180.33670255,4.378960957
145,145,0,0,25,0.71,4,19.05,0,0,2,0.018,4180.33670255,3.232752625
146,146,0,0,50,0.71,4,19.05,0,0,2,0.018,4180.33670255,2.915597892
147,147,0,0,100,0.71,4,19.05,0,0,2,0.018,4180.33670255,2.77371288
148,148,0,0,250,0.71,4,19.05,0,0,2,0.018,4180.33670255,2.690251109
149,149,0,0,1,0.71,4,19.05,0,0,2,0.018,3356.93704902,21.38012386
150,150,0,0,2,0.71,4,19.05,0,0,2,0.018,3356.93704902,11.81540482
151,151,0,0,5,0.71,4,19.05,0,0,2,0.018,3356.93704902,6.078799041
152,152,0,0,10,0.71,4,19.05,0,0,2,0.018,3356.93704902,4.164742409
153,153,0,0,25,0.71,4,19.05,0,0,2,0.018,3356.93704902,3.018534077
154,154,0,0,50,0.71,4,19.05,0,0,2,0.018,3356.93704902,2.701379345
155,155,0,0,100,0.71,4,19.05,0,0,2,0.018,3356.93704902,2.559494333
156,156,0,0,250,0.71,4,19.05,0,0,2,0.018,3356.93704902,2.476032561
157,157,0,0,1,0.71,4,19.05,0,0,2,0.018,5700.45913985,21.99217685
158,158,0,0,2,0.71,4,19.05,0,0,2,0.018,5700.45913985,12.42745781
159,159,0,0,5,0.71,4,19.05,0,0,2,0.018,5700.45913985,6.688069974
160,160,0,0,10,0.71,4,19.05,0,0,2,0.018,5700.45913985,4.776795402
161,161,0,0,25,0.71,4,19.05,0,0,2,0.018,5700.45913985,3.627805011
162,162,0,0,50,0.71,4,19.05,0,0,2,0.018,5700.45913985,3.313432338
163,163,0,0,100,0.71,4,19.05,0,0,2,0.018,5700.45913985,3.171547326
164,164,0,0,250,0.71,4,19.05,0,0,2,0.018,5700.45913985,3.085303495
165,165,0,0,1,0.71,4,19.05,0,0,2,0.018,5985.48209684,22.06729244
166,166,0,0,2,0.71,4,19.05,0,0,2,0.018,5985.48209684,12.5025734
167,167,0,0,5,0.71,4,19.05,0,0,2,0.018,5985.48209684,6.763185569
168,168,0,0,10,0.71,4,19.05,0,0,2,0.018,5985.48209684,4.849128937
169,169,0,0,25,0.71,4,19.05,0,0,2,0.018,5985.48209684,3.702920606
170,170,0,0,50,0.71,4,19.05,0,0,2,0.018,5985.48209684,3.385765873
171,171,0,0,100,0.71,4,19.05,0,0,2,0.018,5985.48209684,3.24666292
172,172,0,0,250,0.71,4,19.05,0,0,2,0.018,5985.48209684,3.160419089
173,173,0,0,1,0.71,6,19.05,0,0,2,0.018,4560.36731188,21.82803537
174,174,0,0,2,0.71,6,19.05,0,0,2,0.018,4560.36731188,12.26331633
175,175,0,0,5,0.71,6,19.05,0,0,2,0.018,4560.36731188,6.52392849
176,176,0,0,10,0.71,6,19.05,0,0,2,0.018,4560.36731188,4.612653917
177,177,0,0,25,0.71,6,19.05,0,0,2,0.018,4560.36731188,3.463663527
178,178,0,0,50,0.71,6,19.05,0,0,2,0.018,4560.36731188,3.149290853
179,179,0,0,100,0.71,6,19.05,0,0,2,0.018,4560.36731188,3.007405841
180,180,0,0,250,0.71,6,19.05,0,0,2,0.018,4560.36731188,2.923944069
181,181,0,0,1,0.71,5,19.05,0,0,2,0.018,4560.36731188,21.76126595
182,182,0,0,2,0.71,5,19.05,0,0,2,0.018,4560.36731188,12.19654691
183,183,0,0,5,0.71,5,19.05,0,0,2,0.018,4560.36731188,6.457159073
184,184,0,0,10,0.71,5,19.05,0,0,2,0.018,4560.36731188,4.5458845
185,185,0,0,25,0.71,5,19.05,0,0,2,0.018,4560.36731188,3.396894109
186,186,0,0,50,0.71,5,19.05,0,0,2,0.018,4560.36731188,3.082521436
187,187,0,0,100,0.71,5,19.05,0,0,2,0.018,4560.36731188,2.940636424
188,188,0,0,250,0.71,5,19.05,0,0,2,0.018,4560.36731188,2.857174652
189,189,0,0,1,0.71,6,19.05,0,0,2,0.018,4560.36731188,21.82803537
190,190,0,0,2,0.71,6,19.05,0,0,2,0.018,4560.36731188,12.26331633
191,191,0,0,5,0.71,6,19.05,0,0,2,0.018,4560.36731188,6.52392849
192,192,0,0,10,0.71,6,19.05,0,0,2,0.018,4560.36731188,4.612653917
193,193,0,0,25,0.71,6,19.05,0,0,2,0.018,4560.36731188,3.463663527
194,194,0,0,50,0.71,6,19.05,0,0,2,0.018,4560.36731188,3.149290853
195,195,0,0,100,0.71,6,19.05,0,0,2,0.018,4560.36731188,3.007405841
196,196,0,0,250,0.71,6,19.05,0,0,2,0.018,4560.36731188,2.923944069
197,197,100,40,40,0.89,5,19.05,0,0,2,0.022,6619.82832284,3.04079055
198,198,0,0,1,0.71,7,19.05,0,0,2,0.018,2216.84522105,21.28553385
199,199,0,0,2,0.71,7,19.05,0,0,2,0.018,2216.84522105,11.72081481
200,200,0,0,5,0.71,7,19.05,0,0,2,0.018,2216.84522105,5.981426974
201,201,0,0,10,0.71,7,19.05,0,0,2,0.018,2216.84522105,4.067370342
202,202,0,0,25,0.71,7,19.05,0,0,2,0.018,2216.84522105,2.92116201
203,203,0,0,50,0.71,7,19.05,0,0,2,0.018,2216.84522105,2.604007278
204,204,0,0,100,0.71,7,19.05,0,0,2,0.018,2216.84522105,2.462122266
205,205,0,0,250,0.71,7,19.05,0,0,2,0.018,2216.84522105,2.378660494
206,206,0,0,1,0.71,5,19.05,0,0,2,0.018,3420.27548391,21.46358563
207,207,0,0,2,0.71,5,19.05,0,0,2,0.018,3420.27548391,11.89886659
208,208,0,0,5,0.71,5,19.05,0,0,2,0.018,3420.27548391,6.162260812
209,209,0,0,10,0.71,5,19.05,0,0,2,0.018,3420.27548391,4.248204181
210,210,0,0,25,0.71,5,19.05,0,0,2,0.018,3420.27548391,3.09921379
211,211,0,0,50,0.71,5,19.05,0,0,2,0.018,3420.27548391,2.784841117
212,212,0,0,100,0.71,5,19.05,0,0,2,0.018,3420.27548391,2.642956105
213,213,0,0,250,0.71,5,19.05,0,0,2,0.018,3420.27548391,2.559494333
214,214,1,1,1,0.71,2,19.05,0,0,2,0.028,3203.14273686,1.836158978
215,215,16,0,5,0.71,3,19.05,0,0,2,0.018,1836.81461173,15.37365835
216,216,16,0,10,0.71,3,19.05,0,0,2,0.018,1836.81461173,8.977704579
217,217,16,0,15,0.71,3,19.05,0,0,2,0.018,1836.81461173,6.846647341
218,218,16,0,20,0.71,3,19.05,0,0,2,0.018,1836.81461173,5.781118722
219,219,1,0,1,0.89,7,19.05,0,0,4,0.048,4128.49508306,20.01969698
220,220,1,0,2,0.89,7,19.05,0,0,4,0.048,4128.49508306,15.01477273
221,221,1,0,3,0.89,7,19.05,0,0,4,0.048,4128.49508306,13.34831936
222,222,1,0,4,0.89,7,19.05,0,0,4,0.048,4128.49508306,11.00860769
223,223,0,0,1,0.89,3,38.1,0,0,2,0.046,28322.1954181,21.97270244
224,224,0,0,2,0.89,3,38.1,0,0,2,0.046,28322.1954181,12.4079834
225,225,0,0,5,0.89,3,38.1,0,0,2,0.046,28322.1954181,6.668595561
226,226,0,0,10,0.89,3,38.1,0,0,2,0.046,28322.1954181,4.757320988
227,227,0,0,25,0.89,3,38.1,0,0,2,0.046,28322.1954181,3.608330598
228,228,0,0,50,0.89,3,38.1,0,0,2,0.046,28322.1954181,3.293957924
229,229,0,0,100,0.89,3,38.1,0,0,2,0.046,28322.1954181,3.152072912
230,230,0,0,250,0.89,3,38.1,0,0,2,0.046,28322.1954181,3.065829081
231,231,0,0,1,0.89,3,38.1,0,0,2,0.046,19805.7310616,21.56373976
232,232,0,0,2,0.89,3,38.1,0,0,2,0.046,19805.7310616,11.99902072
233,233,0,0,5,0.89,3,38.1,0,0,2,0.046,19805.7310616,6.262414939
234,234,0,0,10,0.89,3,38.1,0,0,2,0.046,19805.7310616,4.348358307
235,235,0,0,25,0.89,3,38.1,0,0,2,0.046,19805.7310616,3.202149975
236,236,0,0,50,0.89,3,38.1,0,0,2,0.046,19805.7310616,2.884995243
237,237,0,0,100,0.89,3,38.1,0,0,2,0.046,19805.7310616,2.743110231
238,238,0,0,250,0.89,3,38.1,0,0,2,0.046,19805.7310616,2.659648459
239,239,1,30,30,0.71,6,19.05,0,0,2,0.018,6270.50505383,3.313432338
240,240,0,0,1,0.89,6,38.1,0,0,2,0.046,41790.0925399,22.81844839
241,241,0,0,2,0.89,6,38.1,0,0,2,0.046,41790.0925399,13.25372935
242,242,0,0,5,0.89,6,38.1,0,0,2,0.046,41790.0925399,7.514341514
243,243,0,0,10,0.89,6,38.1,0,0,2,0.046,41790.0925399,5.600284883
244,244,0,0,25,0.89,6,38.1,0,0,2,0.046,41790.0925399,4.454076551
245,245,0,0,50,0.89,6,38.1,0,0,2,0.046,41790.0925399,4.136921819
246,246,0,0,100,0.89,6,38.1,0,0,2,0.046,41790.0925399,3.997818866
247,247,0,0,250,0.89,6,38.1,0,0,2,0.046,41790.0925399,3.911575035
248,248,0,0,1,0.71,2,19.05,0,0,2,0.018,981.745740751,20.62896791
249,249,0,0,2,0.71,2,19.05,0,0,2,0.018,981.745740751,11.06424887
250,250,0,0,5,0.71,2,19.05,0,0,2,0.018,981.745740751,5.324861036
251,251,0,0,10,0.71,2,19.05,0,0,2,0.018,981.745740751,3.410804405
252,252,0,0,25,0.71,2,19.05,0,0,2,0.018,981.745740751,2.264596073
253,253,0,0,50,0.71,2,19.05,0,0,2,0.018,981.745740751,1.94744134
254,254,0,0,100,0.71,2,19.05,0,0,2,0.018,981.745740751,1.808338387
255,255,0,0,250,0.71,2,19.05,0,0,2,0.018,981.745740751,1.722094557
256,256,0,0,1,0.89,5,25.4,0,0,2,0.018,13301.0713263,21.39125209
257,257,0,0,2,0.89,5,25.4,0,0,2,0.018,13301.0713263,11.82653305
258,258,0,0,5,0.89,5,25.4,0,0,2,0.018,13301.0713263,6.087145218
259,259,0,0,10,0.89,5,25.4,0,0,2,0.018,13301.0713263,4.173088586
260,260,0,0,25,0.89,5,25.4,0,0,2,0.018,13301.0713263,3.026880255
261,261,0,0,50,0.89,5,25.4,0,0,2,0.018,13301.0713263,2.709725522
262,262,0,0,100,0.89,5,25.4,0,0,2,0.018,13301.0713263,2.570622569
263,263,0,0,250,0.89,5,25.4,0,0,2,0.018,13301.0713263,2.484378738
264,264,1,0,5,0.71,3,19.05,0,0,2,0.018,4338.68278977,25.61441774
265,265,1,0,19,0.71,3,19.05,0,0,2,0.018,4338.68278977,5.889619025
266,266,1,0,20,0.71,3,19.05,0,0,2,0.018,4338.68278977,2.253467837
267,267,1,0,5,0.71,3,19.05,0,0,2,0.018,3578.62157113,25.39463508
268,268,1,0,19,0.71,3,19.05,0,0,2,0.018,3578.62157113,5.669836359
269,269,1,0,20,0.71,3,19.05,0,0,2,0.018,3578.62157113,2.033685171
270,270,1,0,5,0.71,5,19.05,0,0,2,0.018,1710.13774195,24.96063386
271,271,1,0,19,0.71,5,19.05,0,0,2,0.018,1710.13774195,5.238617205
272,272,1,0,20,0.71,5,19.05,0,0,2,0.018,1710.13774195,1.602466017
273,273,0,0,1,0.71,4,19.05,0,0,2,0.018,4718.7133991,21.73622742
274,274,0,0,2,0.71,4,19.05,0,0,2,0.018,4718.7133991,12.17150838
275,275,0,0,5,0.71,4,19.05,0,0,2,0.018,4718.7133991,6.432120541
276,276,0,0,10,0.71,4,19.05,0,0,2,0.018,4718.7133991,4.520845969
277,277,0,0,25,0.71,4,19.05,0,0,2,0.018,4718.7133991,3.371855578
278,278,0,0,50,0.71,4,19.05,0,0,2,0.018,4718.7133991,3.057482904
279,279,0,0,100,0.71,4,19.05,0,0,2,0.018,4718.7133991,2.915597892
280,280,0,0,250,0.71,4,19.05,0,0,2,0.018,4718.7133991,2.829354062
281,281,0,0,1,0.71,5,19.05,0,0,2,0.018,3768.63687579,21.55539358
282,282,0,0,2,0.71,5,19.05,0,0,2,0.018,3768.63687579,11.99067454
283,283,0,0,5,0.71,5,19.05,0,0,2,0.018,3768.63687579,6.251286702
284,284,0,0,10,0.71,5,19.05,0,0,2,0.018,3768.63687579,4.34001213
285,285,0,0,25,0.71,5,19.05,0,0,2,0.018,3768.63687579,3.191021739
286,286,0,0,50,0.71,5,19.05,0,0,2,0.018,3768.63687579,2.876649066
287,287,0,0,100,0.71,5,19.05,0,0,2,0.018,3768.63687579,2.734764054
288,288,0,0,250,0.71,5,19.05,0,0,2,0.018,3768.63687579,2.648520223
289,289,0,0,20,0.71,9,19.05,0,0,2,0.018,5288.75931308,5.10786043
290,290,0,0,30,0.71,9,19.05,0,0,2,0.018,5288.75931308,3.619458834
291,291,0,0,40,0.71,9,19.05,0,0,2,0.018,5288.75931308,3.363509401
292,292,0,0,45,0.71,9,19.05,0,0,2,0.018,5288.75931308,3.27726557
293,293,0,0,1,0.71,7,31.75,0,0,2,0.028,15090.3613381,21.89202272
294,294,0,0,2,0.71,7,31.75,0,0,2,0.028,15090.3613381,12.32730368
295,295,0,0,5,0.71,7,31.75,0,0,2,0.028,15090.3613381,6.587915848
296,296,0,0,10,0.71,7,31.75,0,0,2,0.028,15090.3613381,4.676641276
297,297,0,0,25,0.71,7,31.75,0,0,2,0.028,15090.3613381,3.527650885
298,298,0,0,50,0.71,7,31.75,0,0,2,0.028,15090.3613381,3.213278211
299,299,0,0,100,0.71,7,31.75,0,0,2,0.028,15090.3613381,3.0713932
300,300,0,0,250,0.71,7,31.75,0,0,2,0.028,15090.3613381,2.987931428
301,301,0,0,1,0.89,3,38.1,0,0,2,0.018,13301.0713263,21.25771326
302,302,0,0,2,0.89,3,38.1,0,0,2,0.018,13301.0713263,11.69299422
303,303,0,0,5,0.89,3,38.1,0,0,2,0.018,13301.0713263,5.953606383
304,304,0,0,10,0.89,3,38.1,0,0,2,0.018,13301.0713263,4.039549752
305,305,0,0,25,0.89,3,38.1,0,0,2,0.018,13301.0713263,2.89334142
306,306,0,0,50,0.89,3,38.1,0,0,2,0.018,13301.0713263,2.576186687
307,307,0,0,100,0.89,3,38.1,0,0,2,0.018,13301.0713263,2.437083734
308,308,0,0,250,0.89,3,38.1,0,0,2,0.018,13301.0713263,2.350839904
309,309,0,0,1,0.71,7,19.05,0,0,2,0.018,7442.26609924,22.64596073
310,310,0,0,2,0.71,7,19.05,0,0,2,0.018,7442.26609924,13.08124169
311,311,0,0,5,0.71,7,19.05,0,0,2,0.018,7442.26609924,7.344635912
312,312,0,0,10,0.71,7,19.05,0,0,2,0.018,7442.26609924,5.43057928
313,313,0,0,25,0.71,7,19.05,0,0,2,0.018,7442.26609924,4.28158889
314,314,0,0,50,0.71,7,19.05,0,0,2,0.018,7442.26609924,3.967216216
315,315,0,0,100,0.71,7,19.05,0,0,2,0.018,7442.26609924,3.825331204
316,316,0,0,250,0.71,7,19.05,0,0,2,0.018,7442.26609924,3.741869432
317,317,0,0,1,0.71,3,19.05,0,0,2,0.018,8233.99653533,22.58753749
318,318,0,0,2,0.71,3,19.05,0,0,2,0.018,8233.99653533,13.02281845
319,319,0,0,5,0.71,3,19.05,0,0,2,0.018,8233.99653533,7.283430613
320,320,0,0,10,0.71,3,19.05,0,0,2,0.018,8233.99653533,5.369373981
321,321,0,0,25,0.71,3,19.05,0,0,2,0.018,8233.99653533,4.223165649
