component_id,weight,name
C-1350,0.635,ELBOW
C-1362,0,ELBOW
C-1363,0,ELBOW
C-1378,0.47,ELBOW
C-1389,0.546,ELBOW
C-1404,1.2,ELBOW-HYDRAULIC
C-1405,1.053,ELBOW-HYDRAULIC
C-1409,1,ELBOW-HYDRAULIC
C-1419,1.107,ELBOW
C-1428,0.475,ELBOW
C-1429,0.726,ELBOW
C-1432,1.606,ELBOW
C-1488,1.426,ELBOW-HYDRAULIC
C-1500,3.62,ELBOW
C-1514,1.5,ELBOW
C-1527,0.631,ELBOW
C-1538,0.454,ELBOW
C-1539,0.363,ELBOW
C-1542,0.272,ELBOW
C-1565,0.169,ADAPTER-O SUPPL
C-1566,0.69,ELBOW
C-1575,1.44,ELBOW
C-1576,0.723,ELBOW
C-1585,0.064,PLUG
C-1586,0.093,PLUG
C-1587,0.145,PLUG
C-1588,0.225,PLUG
C-1589,0.25,PLUG
C-1598,1.154,ELBOW-HYDRAULIC
C-1599,1.193,ELBOW-HYDRAULIC
C-1600,1.338,ELBOW-HYDRAULIC
C-1601,1.421,ELBOW-HYDRAULIC
C-1602,1.659,ELBOW-HYDRAULIC
C-1603,1.641,ELBOW-HYDRAULIC
C-1604,1.564,ELBOW-HYDRAULIC
C-1605,1.672,ELBOW-HYDRAULIC
C-1606,1.715,ELBOW-HYDRAULIC
C-1607,2.237,ELBOW-HYDRAULIC
C-1608,2.653,ELBOW-HYDRAULIC
C-1609,2.535,ELBOW-HYDRAULIC
C-1610,2.35,ELBOW-HYDRAULIC
C-1611,4.86,ELBOW-HYDRAULIC
C-1612,4.448,ELBOW-HYDRAULIC
C-1613,3.939,ELBOW-HYDRAULIC
C-1636,1.33,ELBOW-HYDRAULIC
C-1681,0.142,HOUSING
C-1686,0.666,ELBOW
C-1726,0.881,ELBOW
C-1733,0.245,ELBOW
C-1744,0.454,ELBOW
C-1759,1.232,ELBOW-HYDRAULIC
C-1769,1.662,ELB
C-1774,3.536,FLANGE-WELD
C-1782,0.775,ELBOW
C-1783,1.316,ELBOW
C-1786,1.864,ELBOW
C-1788,1.065,FLANGE
C-1803,4.07,ELBOW-HYDRAULIC
C-1816,1.1,ELBOW
C-1819,1.123,ELBOW
C-1820,0.45,ELBOW
C-1821,0.45,ELBOW
C-1826,0.93,ELBOW
C-1829,1.588,ELBOW
C-1842,1.816,BLOCK
C-1853,0.451,ELBOW
C-1863,0.513,ELBOW
C-1872,0.568,PLUG
C-1896,0.905,ELBOW
C-1899,5.79,ELBOW-HYDRAULIC
C-1905,3.25,ELBOW-HYDRAULIC
C-1931,2.67,ELBOW
C-1935,1.766,ELBOW
C-1948,1.062,ELBOW-WATER
C-1951,0.975,ELBOW
C-1989,1.897,ELBOW
C-1992,1.1,ELBOW
C-2010,1.78,ELBOW-HYDRAULIC
C-2024,0.975,ELBOW-HYDRAULIC
C-2031,6.049,ELBOW-HYDRAULIC
C-0027,2.23,FLANGE
C-0454,0.59,FLANGE-CAPTIVE
C-0455,0.525,FLANGE-CAPTIVE
C-0494,0.23,FLANGE
C-0496,0.284,FLANGE
C-0508,1.144,FLANGE
C-0572,0.447,FLANGE-LOOSE
C-0797,1.983,FLANGE
C-0891,0.465,FLANGE
C-1096,2.565,FLANGE
C-1102,4.06,FLANGE
C-1135,1.88,FLANGE
C-1149,0.783,FLANGE-ONE PIECE
C-1452,0.276,FLANGE-CAPTIVE
C-1453,0.389,FLANGE-CAPTIVE
C-1584,0.516,FLANGE-CAPTIVE
C-0872,0.01,NIPPLE-BRAZE
C-0873,0.01,NIPPLE-BRAZE
C-0874,0.001,NIPPLE-BRAZE
C-1039,0.052,STEM-BRAZED
C-1041,0.065,STEM-BRAZED
C-1043,0.196,STEM-BRAZED
C-1621,0.015,NUT-SWIVEL
C-1624,0.035,NUT-SWIVEL
C-1623,0.044,NUT-SWIVEL
C-1622,0.036,NUT-SWIVEL
C-1625,0.129,NUT-SWIVEL
C-1626,0.154,NUT-SWIVEL
C-1620,0.016,NUT-SWIVEL
C-1867,0.222,NUT-SWIVEL
C-2029,0.034,NUT-SWIVEL
C-0579,0.157,NUT-ORFS
C-0580,0.109,NUT-ORFS
C-0134,0.016,NUT-SWIVEL
C-0390,0.034,NUT-SWIVEL
C-2027,0.096,NUT-SWIVEL
C-0337,0.022,NUT-ORFS
C-2030,0.023,NUT-SWIVEL
C-2025,0.153,NUT-SWIVEL
C-1760,0.124,NUT-ORFS
C-2028,0.052,NUT-SWIVEL
C-0102,0.027,NUT-SWIVEL
C-1059,0.052,NUT-ORFS
C-0097,0.027,NUT-SWIVEL
C-2026,0.128,NUT-SWIVEL
C-0095,0.046,NUT
C-0261,0.153,NUT-ORFS
C-0004,0.014,NUT
C-1202,0.045,NUT-45 (DEG)
C-1442,0.343,NUT-FLARED
C-1421,0.046,NUT-FITTING
C-0448,0.032,NUT-FLARED
C-0336,0.045,NUT-37 DEG FLARE
C-0308,0.037,NUT-FLARED
C-1952,0.045,FITTING-FLARED
C-1845,0.012,NUT
C-1577,0.091,NUT-FLARED
C-1384,0.074,NUT-FLARED
C-1200,0.025,NUT-45 (DEG)
C-1199,0.023,FITTING-TUBE
C-0444,0.111,NUT-FLARED
C-0831,0.255,NUT
C-1848,0.083,NUT-FLARED
C-1243,0.019,NUT
C-1927,0.07,BOSS
C-1964,0.04,BOSS
C-1969,0.09,BOSS
C-1966,0.126,BOSS
C-1963,0.05,BOSS
C-1694,0.2,BOSS
C-1318,0,BOSS
C-0720,0.222,BOSS
C-0315,0.203,BOSS
C-1316,0.021,BOSS
C-0345,0.04,BOSS
C-1980,0.084,BOSS
C-1793,0.101,BOSS
C-1580,0.021,BOSS
C-0827,0.03,BOSS
C-1968,0.059,BOSS
C-1967,0.085,BOSS
C-0321,0.02,BOSS
C-1320,0.011,BOSS
C-1965,0.11,BOSS
C-0035,0.009,BOSS
C-1530,0.067,BOSS
C-1962,0.071,BOSS
C-1385,0.014,NUT-FLARED
C-1386,0.005,SLEEVE-FLARED
C-1369,0.003,COLLAR
C-0422,0.003,WASHER-FUEL LIN
C-1817,0.014,FITTING-NUT
C-1374,0.023,NUT
C-1375,0.041,NUT
C-1439,0.045,NUT-FUEL LINE
C-1355,0.033,ADAPTER
C-0958,0.095,ADAPTER
C-0562,0.173,FLANGE
C-1850,0.219,ADAPTER-OIL LIN
C-0227,0.07,NUT
C-1425,0.085,FITTING
C-1476,0.032,NUT-A/C
C-1860,0.18,FITTING
C-0674,0.324,FLANGE
C-0751,0.68,FLANGE
C-0057,0.035,NUT
C-1960,0.227,ADAPTER-EXH PIP
C-1619,0.001,SEAL-O-RING-ORFS
C-1745,0.072,LINK
C-1838,0.376,HEAD-FLANGED
C-1554,0.045,NUT-INJ LINE
C-0962,0.55,FLANGE
C-0045,0.215,ADAPTER-OIL LIN
C-0092,0.09,FLANGE
C-1474,0.022,NUT-A/C
C-1672,0.003,WASHER-FUEL INJ
C-1481,0.058,ADAPTER-A/C
C-1359,0.025,LUG
C-0577,0.157,NUT-ORFS
C-1677,0.024,NUT-FUEL INJ
C-1595,0.03,BOLT
C-0365,0.125,FLANGE
C-1214,0.001,CAP-A/C
C-1216,0.005,VALVE AS.-A/C
C-0578,0.025,NUT-ORFS
C-0950,0.306,ADAPTER
C-0855,0.002,SLEEVE-CRIMP
C-0442,0.395,ADAPTER-O DRAIN
C-0617,0.17,FLANGE
C-0774,0.062,ADAPTER
C-1058,0.014,SLEEVE-ORFS
C-0552,0.177,FLANGE
C-1954,0.068,ADAPTER
C-0752,0.941,FLANGE
C-1898,0.022,STUD-WELD
C-0953,0.144,ADAPTER
C-0957,0.127,ADAPTER
C-1268,0.022,ADAPTER-STR
C-1477,0,NUT-A/C
C-1398,0.56,COLLAR
C-1478,0.05,NUT-A/C
C-0993,0.499,FLANGE
C-0655,0.162,FLANGE
C-1403,0.003,WASHER-FUEL INJ
C-0844,0.145,PLATE
C-1533,0.014,NUT
C-0366,0.112,FLANGE
C-1502,0.418,ADAPTER
C-1756,0.025,NUT-FUEL INJ
C-1564,0.197,CAP AS-FILLER
C-1950,0.045,NUT-INJ LINE
C-1211,0.175,CONNECTOR
C-1874,0.016,NUT-WELD
C-1213,0.001,CAP-A/C
C-0139,1.548,FLANGE
C-1215,0.005,VALVE AS.-A/C
C-1379,0.025,NUT-FUEL INJ
C-1688,0.044,NUT-F INJ LINE
C-1491,0.03,FITTING
C-0377,0.064,VALVE CORE
C-1521,1.298,FLANGE
C-1402,1.2,FLANGE
C-0681,0.096,FLANGE
C-0675,0.323,FLANGE
C-0108,0.13,FLANGE
C-2046,1.2,SLEEVE
C-1550,0.236,ADAPTER-OIL LIN
C-0915,0.006,PIN
C-0581,0.123,NUT-ORFS
C-1080,0.592,ADAPTER-PIPE
C-1183,1.482,FLANGE
C-1668,1.33,ADAPTER
C-0424,0.009,NUT-WELD
C-0120,0.029,ADAPTER
C-0064,0.952,PLATE
C-0762,0.453,FLANGE
C-0710,1.303,FLANGE
C-0952,0.213,ADAPTER
C-0642,0.846,FLANGE
C-0939,0.77,FLANGE
C-0955,0.623,ELBOW-HYDRAULIC
C-1095,9.97,ELBOW
C-1109,0.873,FLANGE
C-1132,0.036,PLATE
C-1187,0.955,FLANGE
C-0863,2.178,FLANGE
C-1172,0.246,FLANGE
C-1248,0.018,BLOCK
C-0772,1.938,FLANGE
C-0441,0,ADAPTER-O LINE
C-0130,0.49,FLANGE
C-1254,0.2,COLLAR
C-1356,0.025,CLIP
C-1497,0.103,BRACKET
C-1499,2,FLANGE
C-0368,0.442,ADAPTER
C-1483,0,ADAPTER-A/C
C-1735,0.15,ADAPTER-OIL LIN
C-0249,0.229,PLATE
C-0314,0.25,ADAPTER
C-0378,0.094,VALVE BODY
C-1993,0.221,BOSS
C-0144,0.061,HASP AS
C-1859,0.55,HEAD-FLANGED
C-1232,0.032,LUG
C-0987,0.48,ELBOW
C-0989,4.073,BLOCK
C-0964,0.065,ADAPTER
C-0824,0.045,CAP-A/C
C-1037,0.043,FITTING
C-0923,0.102,HEAD-ADAPTER
C-1112,0.146,BOSS
C-1814,0.001,PLUG-CUP
C-0168,0.418,ADAPTER
C-0640,0.123,FLANGE
C-0656,0.068,FLANGE
C-0996,1.074,FLANGE
C-0225,0.07,NUT-FLARED
C-1567,0.022,CLIP
C-1217,0.077,ADAPTER-A/C
C-0085,0.079,BOSS-FITTING
C-0597,0.206,FLANGE
C-0248,0.248,PLATE
C-1978,0.03,COUPLING AS
C-1480,0.059,ADAPTER-A/C
C-1220,0.275,TEE
C-2045,0.74,ADAPTER-INLET
C-1548,0.363,FLANGE-CAPTIVE
C-0121,0.227,ADAPTER-O LINE
C-0859,1.782,FLANGE
C-0124,0.143,COUPLING AS-PERM
C-0347,0.002,CAP-A/C
C-0864,0.018,NIPPLE AS.-45
C-0890,0.41,BOSS
C-1669,0.002,LUG
C-0340,0.29,ELBOW
C-0636,0.094,ADAPTER
C-1406,0.148,HEAD-FLANGED
C-1511,0.035,WASHER
C-1832,0.146,DISC
C-0203,0.295,PLATE
C-0171,0.234,BOSS
C-0954,0.567,FLANGE
C-1013,0.364,FITTING-FLANGE
C-1097,0.594,FLANGE
C-0112,0.901,FLANGE
C-1141,0.41,ADAPTER-PIPE
C-1121,0.49,FLANGE
C-0031,0.038,WASHER
C-1019,0.005,VALVE BODY
C-0376,0.124,FLANGE
C-1676,0,TUBE AS-FUEL IN
C-0783,1.303,FLANGE
C-0129,0,ELBOW-OIL INLET
C-0011,0.012,NUT
C-1436,0.021,STUD-WELD
C-1311,0.005,RIVET
C-1871,1.34,FLANGE-ONE PIEC
C-1223,0.008,HOOK-S
C-0707,5.542,FLANGE
C-1512,0.163,CLEAT
C-0813,0.001,WASHER
C-1689,0.124,COLLAR
C-1382,0.025,NUT-FLARED
C-0717,0.34,FLANGE
C-1941,0.035,COLLAR-O-RING
C-0975,0.18,FLANGE
C-0194,4.1,FLANGE
C-0749,0.106,NUT-ORFS
C-0329,6.8,ELBOW
C-1751,0.508,PLATE
C-0815,0,CLAMP-INJ LINE
C-0438,0,NUT-F INJ LINE
C-0522,0.022,HOUSING-BELL
C-1490,1,BOSS
C-0196,5.7,FLANGE
C-0100,3.289,FLANGE
C-0795,0.68,FLANGE
C-1742,0.045,CLIP
C-0684,0.009,BUSHING
C-1844,0.001,SEAL-O-RING
C-0685,0.167,CAP AS
C-1981,0.263,BOSS
C-0473,0.084,PLATE
C-1914,0.567,BLOCK
C-0440,1.134,ADAPTER
C-0323,1.6,FLANGE
C-0239,0.852,REDUCER
C-1667,0.072,PLATE
C-0357,0.55,FLANGE
C-1791,0.081,COUPLING AS
C-0626,0.15,FLANGE
C-0593,0.372,FLANGE
C-1020,2.415,FLANGE
C-0982,0.577,ELBOW
C-1032,0.489,RING
C-1663,0.4,CONNECTOR-BHD
C-0288,0.007,NUT-WELD
C-0583,0.101,SLEEVE-REDUCING
C-1076,3.4,ELBOW-HYDRAULIC
C-1138,0.639,ADAPTER
C-2014,0.24,COUPLING
C-1083,1.693,BELLOW AS
C-1107,1.337,FLANGE
C-1937,0.004,NUT-WELD
C-1103,0.227,COVER
C-1152,0.675,ADAPTER
C-1120,0.925,FLANGE
C-1184,2.634,FLANGE
C-1205,0.023,NUT-FITTING
C-1098,0.046,BOSS
C-0504,0.112,BOSS
C-1300,1.734,FLANGE
C-0383,2.892,FLANGE
C-1985,0.153,PLATE
C-1021,0.086,COUPLING AS
C-1104,0.312,SCREEN
C-1206,0.005,SLEEVE-FITTING
C-0185,0.064,PLATE
C-1105,0.111,SHROUD
C-0439,0,ADAPTER-O LINE
C-1794,0.045,LUG
C-0251,0.041,COLLAR
C-1675,0,TUBE AS-FUEL IN
C-2040,0,TUBE AS-FUEL IN
C-1358,0,ADAPTER
C-1364,0,ELBOW-WATER
C-0433,0,FITTING
C-0828,0.036,HASP-OIL FILLER
C-1416,0.01,ROD
C-0677,0.156,FLANGE
C-0903,0.528,BRACKET
C-0719,0.125,FLANGE AS.
C-1253,0.094,BAR
C-0198,2.82,FLANGE
C-0825,0.151,ADAPTER
C-1227,0.002,SEAL-O-RING
C-1319,0.152,BRACKET
C-1353,0.569,ELBOW
C-0099,0.219,FLANGE
C-1917,0.05,BLOCK
C-1366,1.64,ELBOW
C-1391,0.75,ELBOW
C-0676,0.56,FLANGE
C-0481,0,ADAPTER-O DRAIN
C-0304,1.035,FLANGE
C-0529,0.19,ADAPTER-EXH PIP
C-1531,5,BODY-RELIEF V
C-0446,0.408,ADAPTER-DRAIN
C-0620,0.023,BOSS
C-0627,0.294,ADAPTER
C-1561,0.054,ADAPTER
C-0470,3.859,BLOCK
C-0149,0.084,ORIFICE
C-2038,0.048,BOSS-WELD
C-0317,0.776,ADAPTER
C-0293,0.15,HEAD-FLANGED
C-1748,0.001,PLUG-CUP
C-0834,0,FLANGE
C-0252,0.025,NUT-FUEL INJ
C-0835,0.226,TUBE
C-0876,7.92,FLANGE
C-0800,0.024,ADAPTER-OIL (GA
C-0924,0.102,HEAD-ADAPTER
C-0913,0.1,BLOCK CONNECTIO
C-1671,0.005,WASHER-FUEL INJ
C-1508,0.1,PLATE
C-1679,0.01,BRACKET
C-0582,0.196,NUT-ORFS
C-1858,0.021,LUG
C-0814,0,CLAMP-INJ LINE
C-0514,0,PLATE AS.
C-1664,1.046,FLANGE
C-0743,0.063,ORIFICE
C-0553,5.724,BLOCK
C-1571,1.2,SLEEVE
C-0745,0.254,ORIFICE
C-1341,0.001,RIVET-POP
C-0654,0.663,ELBOW
C-0472,7.5,BLOCK
C-1383,0.009,SLEEVE-FLARED
C-1563,0.037,CLIP
C-0744,0.195,ORIFICE
C-0294,0.444,BLOCK
C-0123,0.566,ADAPTER-OIL LIN
C-1258,0.075,PLATE
C-1861,0.002,RIVET
C-1972,0.024,PLUG-STOR
C-1509,0.2,BRACKET
C-0382,0.186,PLUG AS-STOR
C-1228,0.001,SEAL-O-RING
C-1939,0.098,SCREW-BLEEDER
C-1922,1,BLOCK
C-0395,0.05,PLATE
C-1510,0.19,PLATE
C-1949,0,WASHER
C-0322,0.178,PLUG AS.
C-0644,0.117,RING
C-0867,0.025,NIPPLE AS.-45
C-1920,0.15,PLATE
C-1921,1.042,PLATE
C-1934,0.45,ELBOW
C-1851,0.094,ORIFICE
C-0037,0.081,LUG
C-0087,7.26,FLANGE
C-0145,0.117,PLATE AS
C-1696,0.142,ADAPTER
C-0201,0.36,PLATE
C-0267,0.13,COUPLING AS.
C-1835,0.02,PLUG-DETENT
C-0206,1.603,BLOCK-HYD
C-0281,0.118,HOSE AS.
C-0283,0.108,HOSE AS.
C-0312,0.368,ADAPTER-INLET
C-0328,0.679,TUBE AS.
C-1582,0.004,PIN
C-0848,1.361,FLANGE
C-0402,2.022,BLOCK-DRAIN
C-1249,0.087,BRACKET
C-0374,0.735,COUPLING AS
C-1380,0.29,NUT-FLARED
C-0542,0.756,PLATE
C-0639,0.927,FLANGE
C-1618,0.001,SEAL-O-RING-ORFS
C-0609,0.101,FLANGE
C-0667,0,CONNECTOR-WELD
C-0706,1.403,FLANGE
C-0727,2.839,FLANGE
C-0541,0.512,FLANGE
C-0746,0.24,BRACKET
C-1651,0,NUT-SWIVEL
C-0860,0.018,NIPPLE AS.-90
C-0865,0.019,NIPPLE AS.-90
C-1466,0.079,NUT-A/C
C-0932,0.079,SLEEVE
C-1000,0.293,ELBOW-90 DEG
C-1010,0.333,FLANGE
C-1081,0.056,BOSS
C-0764,1.42,COVER
C-1022,0.008,SPACER
C-0164,0.179,ADAPTER
C-1034,4.57,ELBOW-HYDRAULIC
C-0767,0.224,CONNECTOR
C-0412,0.002,BOSS
C-1061,0.219,ADAPTER-PIPE
C-1068,0.245,PLATE
C-1110,0.072,BOSS-SADDLE
C-1180,0.459,FLANGE
C-0776,0.178,PLATE
C-1106,0.999,FLANGE
C-1143,0.057,BOSS
C-1116,0.15,BOSS
C-0921,0.111,BOSS
C-1126,0.249,FLANGE
C-1130,0.294,BOSS
C-1119,0.696,FLANGE
C-1142,0.612,FLANGE
C-1157,1.558,FLANGE
C-1160,0.237,FLANGE
C-1158,0.106,PLATE
C-1189,0.176,CONNECTOR
C-1168,0.373,FLANGE
C-0988,0.355,FLANGE
C-1174,0.812,FLANGE
C-1278,2.871,FLANGE
C-1283,3.207,FLANGE
C-1027,0.326,FILLER
C-1298,0.576,TEE-ORFS BRAZE
C-1944,0.091,CLIP
C-1222,0.018,WASHER
C-1831,0.018,STUD-WELD
C-1945,0.091,CLIP
C-0313,1.169,SLEEVE
C-0404,10.56,SLEEVE
C-1381,0.033,SLEEVE-FLARED
C-0341,0.067,PLATE
C-1001,0.263,TEE
C-0765,0.323,ADAPTER
C-1150,0.055,PLATE
C-0979,0.104,ADAPTER
C-1940,0.005,NUT-WELD
C-1309,0.26,REDUCER
