,tube_assembly_id,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,component_id_4,quantity_4,component_id_5,quantity_5,component_id_6,quantity_6,component_id_7,quantity_7,component_id_8,quantity_8,no_of_components,total_component_weight
75,TA-00076,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
76,TA-00077,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
77,TA-00078,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
78,TA-00079,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
79,TA-00080,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
80,TA-00081,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
81,TA-00082,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
82,TA-00083,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
83,TA-00084,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
84,TA-00085,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
85,TA-00086,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
86,TA-00087,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
87,TA-00088,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
88,TA-00089,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
89,TA-00090,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
90,TA-00091,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
91,TA-00092,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
92,TA-00093,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
93,TA-00094,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
94,TA-00095,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
95,TA-00096,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
96,TA-00097,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
97,TA-00098,C-1538,1,C-1625,1,C-1632,1,,0,,0,,0,,0,,0,3,0.616
98,TA-00099,C-1993,1,,0,,0,,0,,0,,0,,0,,0,1,0.221
99,TA-00100,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
100,TA-00101,,0,,0,,0,,0,,0,,0,,0,,0,0,0
101,TA-00102,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
102,TA-00103,C-1521,1,C-1831,4,,0,,0,,0,,0,,0,,0,5,1.37
103,TA-00104,C-1622,2,C-1629,2,,0,,0,,0,,0,,0,,0,4,0.096
104,TA-00105,C-1670,1,,0,,0,,0,,0,,0,,0,,0,1,0.079
105,TA-00106,,0,,0,,0,,0,,0,,0,,0,,0,0,0
106,TA-00107,C-0441,1,C-1420,1,C-1421,1,,0,,0,,0,,0,,0,3,0.055
107,TA-00108,C-1625,1,C-1632,1,C-1842,1,,0,,0,,0,,0,,0,3,1.978
108,TA-00109,C-1625,1,C-1632,1,C-1842,1,,0,,0,,0,,0,,0,3,1.978
109,TA-00110,C-0038,1,,0,,0,,0,,0,,0,,0,,0,1,0.169
110,TA-00111,C-1585,2,C-1598,1,C-1759,1,,0,,0,,0,,0,,0,4,2.514
111,TA-00112,C-0055,1,C-0056,5,C-1845,1,C-1846,1,,0,,0,,0,,0,8,0.036
112,TA-00113,C-1620,2,C-1627,2,,0,,0,,0,,0,,0,,0,4,0.042
113,TA-00114,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
114,TA-00115,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
115,TA-00116,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
116,TA-00117,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
117,TA-00118,C-1622,2,C-1629,2,,0,,0,,0,,0,,0,,0,4,0.096
118,TA-00119,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
119,TA-00120,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
120,TA-00121,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
121,TA-00122,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
122,TA-00123,C-1624,1,C-1631,1,C-1641,1,,0,,0,,0,,0,,0,3,0.21
123,TA-00124,C-1312,1,,0,,0,,0,,0,,0,,0,,0,1,0.009
124,TA-00125,C-1625,1,C-1632,1,C-1642,1,,0,,0,,0,,0,,0,3,0.387
125,TA-00126,C-1624,2,C-1631,2,,0,,0,,0,,0,,0,,0,4,0.122
126,TA-00127,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
127,TA-00128,C-1638,2,,0,,0,,0,,0,,0,,0,,0,2,0.08
128,TA-00129,C-1620,2,C-1627,2,,0,,0,,0,,0,,0,,0,4,0.042
129,TA-00130,C-1620,2,C-1627,2,,0,,0,,0,,0,,0,,0,4,0.042
130,TA-00131,C-1625,2,C-1632,2,,0,,0,,0,,0,,0,,0,4,0.324
131,TA-00132,C-1624,1,C-1631,1,C-1641,1,,0,,0,,0,,0,,0,3,0.21
132,TA-00133,C-1624,1,C-1631,1,C-1641,1,,0,,0,,0,,0,,0,3,0.21
133,TA-00134,C-1624,1,C-1631,1,C-1641,1,,0,,0,,0,,0,,0,3,0.21
134,TA-00135,C-1817,1,,0,,0,,0,,0,,0,,0,,0,1,0.014
135,TA-00136,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
136,TA-00137,,0,,0,,0,,0,,0,,0,,0,,0,0,0
137,TA-00138,C-1750,1,,0,,0,,0,,0,,0,,0,,0,1,0.067
138,TA-00139,,0,,0,,0,,0,,0,,0,,0,,0,0,0
139,TA-00140,,0,,0,,0,,0,,0,,0,,0,,0,0,0
140,TA-00141,C-1468,1,C-1474,1,,0,,0,,0,,0,,0,,0,2,0.15
141,TA-00142,C-1476,1,C-1481,1,,0,,0,,0,,0,,0,,0,2,0.09
142,TA-00143,C-1882,2,,0,,0,,0,,0,,0,,0,,0,2,2.87
143,TA-00144,C-1717,1,C-2016,1,,0,,0,,0,,0,,0,,0,2,2.119
144,TA-00145,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
145,TA-00146,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
146,TA-00147,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
147,TA-00148,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
148,TA-00149,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
149,TA-00150,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
150,TA-00151,C-1532,1,,0,,0,,0,,0,,0,,0,,0,1,0.291
151,TA-00152,C-0468,1,,0,,0,,0,,0,,0,,0,,0,1,0.09
152,TA-00153,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
153,TA-00154,C-1625,1,C-1635,1,C-1644,1,,0,,0,,0,,0,,0,3,0.314
154,TA-00155,C-1625,1,C-1635,1,C-1644,1,,0,,0,,0,,0,,0,3,0.314
155,TA-00156,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
156,TA-00157,C-1649,1,C-1909,1,,0,,0,,0,,0,,0,,0,2,0.46
157,TA-00158,C-1647,2,,0,,0,,0,,0,,0,,0,,0,2,0.1
158,TA-00159,C-1625,1,C-1632,1,C-1642,1,,0,,0,,0,,0,,0,3,0.387
159,TA-00160,C-1647,2,,0,,0,,0,,0,,0,,0,,0,2,0.1
160,TA-00161,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
161,TA-00162,C-1476,2,,0,,0,,0,,0,,0,,0,,0,2,0.064
162,TA-00163,C-1243,2,C-1244,2,,0,,0,,0,,0,,0,,0,4,0.048
163,TA-00164,C-1243,1,C-1244,1,,0,,0,,0,,0,,0,,0,2,0.024
164,TA-00165,C-1355,1,C-1563,1,,0,,0,,0,,0,,0,,0,2,0.07
165,TA-00166,C-1925,1,,0,,0,,0,,0,,0,,0,,0,1,0.197
166,TA-00167,C-0444,2,C-0445,2,,0,,0,,0,,0,,0,,0,4,0.262
167,TA-00168,C-1474,1,C-1596,1,,0,,0,,0,,0,,0,,0,2,0.022
168,TA-00169,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
169,TA-00170,C-1218,1,C-1647,1,,0,,0,,0,,0,,0,,0,2,0.2
170,TA-00171,C-1644,1,C-1908,1,,0,,0,,0,,0,,0,,0,2,0.403
171,TA-00172,C-1644,1,C-1908,1,,0,,0,,0,,0,,0,,0,2,0.403
172,TA-00173,C-1624,1,C-1647,1,C-1654,1,,0,,0,,0,,0,,0,3,0.114
173,TA-00174,C-1625,1,C-1632,1,C-1649,1,,0,,0,,0,,0,,0,3,0.382
174,TA-00175,C-0448,1,C-0449,1,C-0061,1,,0,,0,,0,,0,,0,3,0.238
175,TA-00176,C-0448,1,C-0449,1,C-0061,1,,0,,0,,0,,0,,0,3,0.238
176,TA-00177,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
177,TA-00178,C-1420,1,C-1421,1,C-0045,1,,0,,0,,0,,0,,0,3,0.27
178,TA-00179,C-1620,2,C-1627,2,,0,,0,,0,,0,,0,,0,4,0.042
179,TA-00180,C-1638,1,C-1645,1,,0,,0,,0,,0,,0,,0,2,0.06
180,TA-00181,C-1468,1,C-1480,1,,0,,0,,0,,0,,0,,0,2,0.187
181,TA-00182,C-1475,1,C-1476,1,,0,,0,,0,,0,,0,,0,2,0.063
182,TA-00183,C-1477,1,C-1483,1,,0,,0,,0,,0,,0,,0,2,0
183,TA-00184,C-1623,1,C-1630,1,C-1640,1,,0,,0,,0,,0,,0,3,0.166
184,TA-00185,C-1623,1,C-1630,1,C-1640,1,,0,,0,,0,,0,,0,3,0.166
185,TA-00186,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
186,TA-00187,C-1620,2,C-1627,2,,0,,0,,0,,0,,0,,0,4,0.042
187,TA-00188,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
188,TA-00189,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
189,TA-00190,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
190,TA-00191,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
191,TA-00192,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
192,TA-00193,C-1621,1,C-1628,1,C-1681,1,,0,,0,,0,,0,,0,3,0.163
193,TA-00194,C-1647,2,,0,,0,,0,,0,,0,,0,,0,2,0.1
194,TA-00195,C-1647,2,,0,,0,,0,,0,,0,,0,,0,2,0.1
195,TA-00196,C-1647,2,,0,,0,,0,,0,,0,,0,,0,2,0.1
196,TA-00197,C-1647,2,,0,,0,,0,,0,,0,,0,,0,2,0.1
197,TA-00198,C-1345,1,C-1502,1,C-1970,1,,0,,0,,0,,0,,0,3,0.782
198,TA-00199,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
199,TA-00200,C-0448,2,C-0449,2,,0,,0,,0,,0,,0,,0,4,0.076
200,TA-00201,C-0444,2,C-0445,2,,0,,0,,0,,0,,0,,0,4,0.262
201,TA-00202,C-0444,2,C-0445,2,,0,,0,,0,,0,,0,,0,4,0.262
202,TA-00203,C-1621,1,C-1628,1,C-1638,1,,0,,0,,0,,0,,0,3,0.061
203,TA-00204,C-1623,1,C-1630,1,C-0063,1,,0,,0,,0,,0,,0,3,0.289
204,TA-00205,C-1625,1,C-1632,1,C-0237,1,,0,,0,,0,,0,,0,3,0.334
205,TA-00206,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
206,TA-00207,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
207,TA-00208,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
208,TA-00209,C-0448,2,C-0449,2,,0,,0,,0,,0,,0,,0,4,0.076
209,TA-00210,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
210,TA-00211,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
211,TA-00212,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
212,TA-00213,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
213,TA-00214,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
214,TA-00215,C-0448,2,C-0449,2,,0,,0,,0,,0,,0,,0,4,0.076
215,TA-00216,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
216,TA-00217,C-1460,1,C-2018,1,,0,,0,,0,,0,,0,,0,2,2.557
217,TA-00218,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
218,TA-00219,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
219,TA-00220,C-1475,1,C-1476,1,,0,,0,,0,,0,,0,,0,2,0.063
220,TA-00221,C-1623,2,C-1630,2,,0,,0,,0,,0,,0,,0,4,0.124
221,TA-00222,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
222,TA-00223,C-1623,1,C-1630,1,,0,,0,,0,,0,,0,,0,2,0.062
223,TA-00224,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
224,TA-00225,,0,,0,,0,,0,,0,,0,,0,,0,0,0
225,TA-00226,C-1622,2,C-1629,2,,0,,0,,0,,0,,0,,0,4,0.096
226,TA-00227,C-1620,1,C-1624,1,C-1627,1,C-1657,1,,0,,0,,0,,0,4,0.076
227,TA-00228,C-0448,2,C-0449,2,,0,,0,,0,,0,,0,,0,4,0.076
228,TA-00229,C-1925,1,,0,,0,,0,,0,,0,,0,,0,1,0.197
229,TA-00230,C-0448,2,C-0449,2,,0,,0,,0,,0,,0,,0,4,0.076
230,TA-00231,C-1625,1,C-1632,1,C-1649,1,,0,,0,,0,,0,,0,3,0.382
231,TA-00232,C-1642,2,,0,,0,,0,,0,,0,,0,,0,2,0.45
232,TA-00233,C-1622,2,C-1629,2,,0,,0,,0,,0,,0,,0,4,0.096
233,TA-00234,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
234,TA-00235,C-1622,2,C-1629,2,,0,,0,,0,,0,,0,,0,4,0.096
235,TA-00236,C-1625,1,C-1632,1,C-1649,1,,0,,0,,0,,0,,0,3,0.382
236,TA-00237,C-1623,1,C-1630,1,C-1647,1,,0,,0,,0,,0,,0,3,0.112
237,TA-00238,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
238,TA-00239,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
239,TA-00240,C-1555,1,,0,,0,,0,,0,,0,,0,,0,1,0.09
240,TA-00241,C-1243,1,C-1244,1,,0,,0,,0,,0,,0,,0,2,0.024
241,TA-00242,C-1243,1,C-1244,1,,0,,0,,0,,0,,0,,0,2,0.024
242,TA-00243,C-1243,1,C-1244,1,,0,,0,,0,,0,,0,,0,2,0.024
243,TA-00244,C-1243,1,C-1244,1,,0,,0,,0,,0,,0,,0,2,0.024
244,TA-00245,C-1620,1,C-1621,1,C-1627,1,C-1661,1,,0,,0,,0,,0,4,0.041
245,TA-00246,C-1620,2,C-1627,1,C-2035,1,,0,,0,,0,,0,,0,4,0.038
246,TA-00247,C-1243,1,C-1244,1,,0,,0,,0,,0,,0,,0,2,0.024
247,TA-00248,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
248,TA-00249,C-1536,2,C-1642,1,C-1649,1,,0,,0,,0,,0,,0,4,0.549
249,TA-00250,C-1670,1,,0,,0,,0,,0,,0,,0,,0,1,0.079
250,TA-00251,C-0444,2,C-0445,2,,0,,0,,0,,0,,0,,0,4,0.262
251,TA-00252,C-1247,1,C-1429,1,,0,,0,,0,,0,,0,,0,2,1.362
252,TA-00253,C-1247,1,C-1429,1,,0,,0,,0,,0,,0,,0,2,1.362
253,TA-00254,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
254,TA-00255,,0,,0,,0,,0,,0,,0,,0,,0,0,0
255,TA-00256,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
256,TA-00257,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
257,TA-00258,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
258,TA-00259,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
259,TA-00260,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
260,TA-00261,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
261,TA-00262,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
262,TA-00263,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
263,TA-00264,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
264,TA-00265,C-1312,2,,0,,0,,0,,0,,0,,0,,0,2,0.018
265,TA-00266,C-1851,1,,0,,0,,0,,0,,0,,0,,0,1,0.094
266,TA-00267,C-1851,1,,0,,0,,0,,0,,0,,0,,0,1,0.094
267,TA-00268,,0,,0,,0,,0,,0,,0,,0,,0,0,0
268,TA-00269,C-1670,1,,0,,0,,0,,0,,0,,0,,0,1,0.079
269,TA-00270,C-1623,1,C-1630,1,C-1647,1,,0,,0,,0,,0,,0,3,0.112
270,TA-00271,C-1623,1,C-1630,1,C-1647,1,,0,,0,,0,,0,,0,3,0.112
271,TA-00272,C-1620,2,C-1627,2,,0,,0,,0,,0,,0,,0,4,0.042
272,TA-00273,C-1622,2,C-1629,2,,0,,0,,0,,0,,0,,0,4,0.096
273,TA-00274,C-1622,2,C-1629,2,,0,,0,,0,,0,,0,,0,4,0.096
274,TA-00275,C-1724,1,C-1735,1,,0,,0,,0,,0,,0,,0,2,0.195
275,TA-00276,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
276,TA-00277,C-1670,1,,0,,0,,0,,0,,0,,0,,0,1,0.079
277,TA-00278,C-1817,1,,0,,0,,0,,0,,0,,0,,0,1,0.014
278,TA-00279,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
279,TA-00280,C-1357,1,,0,,0,,0,,0,,0,,0,,0,1,0.62
280,TA-00281,,0,,0,,0,,0,,0,,0,,0,,0,0,0
281,TA-00282,C-1420,2,C-1421,2,,0,,0,,0,,0,,0,,0,4,0.11
282,TA-00283,C-1243,2,C-1244,2,,0,,0,,0,,0,,0,,0,4,0.048
283,TA-00284,C-1845,2,C-1846,2,,0,,0,,0,,0,,0,,0,4,0.028
284,TA-00285,,0,,0,,0,,0,,0,,0,,0,,0,0,0
285,TA-00286,,0,,0,,0,,0,,0,,0,,0,,0,0,0
286,TA-00287,,0,,0,,0,,0,,0,,0,,0,,0,0,0
287,TA-00288,,0,,0,,0,,0,,0,,0,,0,,0,0,0
288,TA-00289,,0,,0,,0,,0,,0,,0,,0,,0,0,0
289,TA-00290,,0,,0,,0,,0,,0,,0,,0,,0,0,0
290,TA-00291,,0,,0,,0,,0,,0,,0,,0,,0,0,0
291,TA-00292,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
292,TA-00293,C-1621,1,C-1628,1,C-1638,1,,0,,0,,0,,0,,0,3,0.061
293,TA-00294,C-1621,1,C-1628,1,C-1638,1,,0,,0,,0,,0,,0,3,0.061
294,TA-00295,C-1621,1,C-1628,1,C-1638,1,,0,,0,,0,,0,,0,3,0.061
295,TA-00296,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
296,TA-00297,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
297,TA-00298,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
298,TA-00299,C-1621,2,C-1628,2,,0,,0,,0,,0,,0,,0,4,0.042
299,TA-00300,C-1733,1,,0,,0,,0,,0,,0,,0,,0,1,0.245
300,TA-00301,C-1624,2,C-1631,2,,0,,0,,0,,0,,0,,0,4,0.122
301,TA-00302,C-1624,2,C-1631,2,,0,,0,,0,,0,,0,,0,4,0.122
302,TA-00303,C-1420,1,C-1421,1,C-1850,1,,0,,0,,0,,0,,0,3,0.274
303,TA-00304,,0,,0,,0,,0,,0,,0,,0,,0,0,0
304,TA-00305,,0,,0,,0,,0,,0,,0,,0,,0,0,0
305,TA-00306,C-0444,1,C-0445,1,,0,,0,,0,,0,,0,,0,2,0.131
306,TA-00307,,0,,0,,0,,0,,0,,0,,0,,0,0,0
307,TA-00308,C-1624,2,C-1631,2,,0,,0,,0,,0,,0,,0,4,0.122
